Group,Name,Code,Population
country,Aruba,ABW,105845
country,Afghanistan,AFG,37172386
country,Angola,AGO,30809762
country,Albania,ALB,2866376
country,Andorra,AND,77006
country,Arab World,ARB,419790588
country,United Arab Emirates,ARE,9630959
country,Argentina,ARG,44494502
country,Armenia,ARM,2951776
country,American Samoa,ASM,55465
country,Antigua and Barbuda,ATG,96286
country,Australia,AUS,24992369
country,Austria,AUT,8847037
country,Azerbaijan,AZE,9942334
country,Burundi,BDI,11175378
country,Belgium,BEL,11422068
country,Benin,BEN,11485048
country,Burkina Faso,BFA,19751535
country,Bangladesh,BGD,161356039
country,Bulgaria,BGR,7024216
country,Bahrain,BHR,1569439
country,"Bahamas, The",BHS,385640
country,Bosnia and Herzegovina,BIH,3323929
country,Belarus,BLR,9485386
country,Belize,BLZ,383071
country,Bermuda,BMU,63968
country,Bolivia,BOL,11353142
country,Brazil,BRA,209469333
country,Barbados,BRB,286641
country,Brunei Darussalam,BRN,428962
country,Bhutan,BTN,754394
country,Botswana,BWA,2254126
country,Central African Republic,CAF,4666377
country,Canada,CAN,37058856
country,Central Europe and the Baltics,CEB,102511922
country,Switzerland,CHE,8516543
country,Channel Islands,CHI,170499
country,Chile,CHL,18729160
country,China,CHN,1392730000
country,Cote d'Ivoire,CIV,25069229
country,Cameroon,CMR,25216237
country,"Congo, Dem. Rep.",COD,84068091
country,"Congo, Rep.",COG,5244363
country,Colombia,COL,49648685
country,Comoros,COM,832322
country,Cabo Verde,CPV,543767
country,Costa Rica,CRI,4999441
country,Caribbean small states,CSS,7358965
country,Cuba,CUB,11338138
country,Curacao,CUW,159849
country,Cayman Islands,CYM,64174
country,Cyprus,CYP,1189265
country,Czech Republic,CZE,10625695
country,Germany,DEU,82927922
country,Djibouti,DJI,958920
country,Dominica,DMA,71625
country,Denmark,DNK,5797446
country,Dominican Republic,DOM,10627165
country,Algeria,DZA,42228429
country,East Asia & Pacific (excluding high income),EAP,2081651801
country,Early-demographic dividend,EAR,3249140605
country,East Asia & Pacific,EAS,2328220870
country,Europe & Central Asia (excluding high income),ECA,417797257
country,Europe & Central Asia,ECS,918793590
country,Ecuador,ECU,17084357
country,"Egypt, Arab Rep.",EGY,98423595
country,Euro area,EMU,341783171
country,Eritrea,ERI,3213972
country,Spain,ESP,46723749
country,Estonia,EST,1320884
country,Ethiopia,ETH,109224559
country,European Union,EUU,513213363
country,Fragile and conflict affected situations,FCS,515215936
country,Finland,FIN,5518050
country,Fiji,FJI,883483
country,France,FRA,66987244
country,Faroe Islands,FRO,48497
country,"Micronesia, Fed. Sts.",FSM,112640
country,Gabon,GAB,2119275
country,United Kingdom,GBR,66488991
country,Georgia,GEO,3731000
country,Ghana,GHA,29767108
country,Gibraltar,GIB,33718
country,Guinea,GIN,12414318
country,"Gambia, The",GMB,2280102
country,Guinea-Bissau,GNB,1874309
country,Equatorial Guinea,GNQ,1308974
country,Greece,GRC,10727668
country,Grenada,GRD,111454
country,Greenland,GRL,56025
country,Guatemala,GTM,17247807
country,Guam,GUM,165768
country,Guyana,GUY,779004
country,High income,HIC,1210312147
country,"Hong Kong SAR, China",HKG,7451000
country,Honduras,HND,9587522
country,Heavily indebted poor countries (HIPC),HPC,780234406
country,Croatia,HRV,4089400
country,Haiti,HTI,11123176
country,Hungary,HUN,9768785
country,IBRD only,IBD,4772284113
country,IDA & IBRD total,IBT,6412522234
country,IDA total,IDA,1640238121
country,IDA blend,IDB,555830605
country,Indonesia,IDN,267663435
country,IDA only,IDX,1084407516
country,Isle of Man,IMN,84077
country,India,IND,1352617328
country,Ireland,IRL,4853506
country,"Iran, Islamic Rep.",IRN,81800269
country,Iraq,IRQ,38433600
country,Iceland,ISL,353574
country,Israel,ISR,8883800
country,Italy,ITA,60431283
country,Jamaica,JAM,2934855
country,Jordan,JOR,9956011
country,Japan,JPN,126529100
country,Kazakhstan,KAZ,18276499
country,Kenya,KEN,51393010
country,Kyrgyz Republic,KGZ,6315800
country,Cambodia,KHM,16249798
country,Kiribati,KIR,115847
country,St. Kitts and Nevis,KNA,52441
country,"Korea, Rep.",KOR,51635256
country,Kuwait,KWT,4137309
country,Latin America & Caribbean (excluding high income),LAC,609013934
country,Lao PDR,LAO,7061507
country,Lebanon,LBN,6848925
country,Liberia,LBR,4818977
country,Libya,LBY,6678567
country,St. Lucia,LCA,181889
country,Latin America & Caribbean,LCN,641357515
country,Least developed countries: UN classification,LDC,1009662578
country,Low income,LIC,705417321
country,Liechtenstein,LIE,37910
country,Sri Lanka,LKA,21670000
country,Lower middle income,LMC,3022905169
country,Low & middle income,LMY,6383958209
country,Lesotho,LSO,2108132
country,Late-demographic dividend,LTE,2288665963
country,Lithuania,LTU,2789533
country,Luxembourg,LUX,607728
country,Latvia,LVA,1926542
country,"Macao SAR, China",MAC,631636
country,St. Martin (French part),MAF,37264
country,Morocco,MAR,36029138
country,Monaco,MCO,38682
country,Moldova,MDA,3545883
country,Madagascar,MDG,26262368
country,Maldives,MDV,515696
country,Middle East & North Africa,MEA,448912859
country,Mexico,MEX,126190788
country,Marshall Islands,MHL,58413
country,Middle income,MIC,5678540888
country,North Macedonia,MKD,2082958
country,Mali,MLI,19077690
country,Malta,MLT,483530
country,Myanmar,MMR,53708395
country,Middle East & North Africa (excluding high income),MNA,382896715
country,Montenegro,MNE,622345
country,Mongolia,MNG,3170208
country,Northern Mariana Islands,MNP,56882
country,Mozambique,MOZ,29495962
country,Mauritania,MRT,4403319
country,Mauritius,MUS,1265303
country,Malawi,MWI,18143315
country,Malaysia,MYS,31528585
country,North America,NAC,364290258
country,Namibia,NAM,2448255
country,New Caledonia,NCL,284060
country,Niger,NER,22442948
country,Nigeria,NGA,195874740
country,Nicaragua,NIC,6465513
country,Netherlands,NLD,17231017
country,Norway,NOR,5314336
country,Nepal,NPL,28087871
country,Nauru,NRU,12704
country,New Zealand,NZL,4885500
country,OECD members,OED,1303529456
country,Oman,OMN,4829483
country,Other small states,OSS,30758989
country,Pakistan,PAK,212215030
country,Panama,PAN,4176873
country,Peru,PER,31989256
country,Philippines,PHL,106651922
country,Palau,PLW,17907
country,Papua New Guinea,PNG,8606316
country,Poland,POL,37978548
country,Pre-demographic dividend,PRE,919485393
country,Puerto Rico,PRI,3195153
country,"Korea, Dem. People’s Rep.",PRK,25549819
country,Portugal,PRT,10281762
country,Paraguay,PRY,6956071
country,West Bank and Gaza,PSE,4569087
country,Pacific island small states,PSS,2457367
